	reads.in	reads.out
E-1_1.fastq.gz	109284	100252
E-10_1.fastq.gz	194536	181943
E-2_1.fastq.gz	105228	98132
E-3_1.fastq.gz	137454	125692
E-4_1.fastq.gz	194443	183309
E-5_1.fastq.gz	112021	106286
E-6_1.fastq.gz	122869	116750
E-7_1.fastq.gz	120598	113642
E-8_1.fastq.gz	116391	108862
E-9_1.fastq.gz	157840	149213
H-1_1.fastq.gz	187083	175264
H-10_1.fastq.gz	206937	196561
H-2_1.fastq.gz	198576	185537
H-3_1.fastq.gz	80112	74051
H-4_1.fastq.gz	128375	121780
H-5_1.fastq.gz	126681	118838
H-6_1.fastq.gz	149952	140923
H-7_1.fastq.gz	155374	146149
H-8_1.fastq.gz	154418	143331
H-9_1.fastq.gz	147363	137955
SAH-1_1.fastq.gz	156686	147542
SAH-10_1.fastq.gz	160769	149157
SAH-2_1.fastq.gz	196750	184291
SAH-3_1.fastq.gz	135770	121982
SAH-4_1.fastq.gz	166082	155022
SAH-5_1.fastq.gz	172976	162447
SAH-6_1.fastq.gz	150287	139746
SAH-7_1.fastq.gz	142126	128482
SAH-8_1.fastq.gz	191365	176897
SAH-9_1.fastq.gz	145762	136762
