""	"Raw"	"Qual_filter"	"Derep"	"ASVs R1"	"ASVs R2"	"Merged"	"nonchim"
"E-1"	109284	101553	100252	98326	99272	89723	84549
"E-10"	194536	183576	181943	180185	181100	174646	152379
"E-2"	105228	99062	98132	97413	97609	93832	92311
"E-3"	137454	127301	125692	125206	125340	122103	120939
"E-4"	194443	184817	183309	183050	183133	181480	180112
"E-5"	112021	107099	106286	105523	105901	101138	97580
"E-6"	122869	117574	116750	116049	116375	112825	96509
"E-7"	120598	114635	113642	112703	113126	109270	101482
"E-8"	116391	109961	108862	105530	107077	93260	89477
"E-9"	157840	150389	149213	147116	147928	138085	119082
"H-1"	187083	176989	175264	166181	170700	134817	115103
"H-10"	206937	197892	196561	195084	195817	188091	128342
"H-2"	198576	187550	185537	176739	181187	141820	113750
"H-3"	80112	75243	74051	69427	71744	55439	51147
"H-4"	128375	122797	121780	118768	119996	106166	94415
"H-5"	126681	119980	118838	116227	117401	104659	86047
"H-6"	149952	142223	140923	132962	136765	103771	85785
"H-7"	155374	147535	146149	140799	143493	119839	101252
"H-8"	154418	145020	143331	136583	139717	114101	104921
"H-9"	147363	139331	137955	135592	136760	125007	108685
"SAH-1"	156686	148916	147542	138393	142494	108919	95406
"SAH-10"	160769	150936	149157	140661	144644	111781	88939
"SAH-2"	196750	186257	184291	170921	177626	127985	104395
"SAH-3"	135770	123901	121982	114282	117896	89323	83989
"SAH-4"	166082	156657	155022	146159	150257	114846	100932
"SAH-5"	172976	164054	162447	152200	157327	119393	95558
"SAH-6"	150287	141410	139746	130468	134884	99604	87895
"SAH-7"	142126	130461	128482	118355	123040	87008	80515
"SAH-8"	191365	179175	176897	158450	167453	106983	98794
"SAH-9"	145762	138161	136762	124403	130222	87964	75009
